id,name,description,connection_info,next_id,max_attempts,value,category,type,state,requirements
40,Removed Antenna,The antenna was removed from the Merlin@home device to significantly reduce the chance that it would interact with any attendees implants. What is the serial number on the antenna?,,,0,10,Used Medical Devices,standard,visible,
41,Intellivues,"There are 3 Philips Intellivue MX devices at the booth, in 3 different sizes. What are the 3 model numbers (the numbers after the ""MX"" on the devices)? (The flag for this challenge is three numbers, in ascending order, separated by commas)",,,0,25,Booth Medical Devices,standard,visible,
42,Widescreen,The screen of the largest of the Philips Intellivue MX devices at the Healthcare Hacking booth is what size? (The flag is the number of inches),,,0,25,Booth Medical Devices,standard,visible,
43,Portable Device Radio,"The smallest of the Philips Intellivue MX devices has 2 radios in it, that work at two different frequencies for ""Smart-hopping"". What are those frequencies in GHz? (Flag is two numbers, separated by a comma)",,,0,50,Booth Medical Devices,standard,visible,
44,Inflations,"The Visi Moble Wrist Transceivers last 12-14 hours, and the Cuff Module will need to be recharged after approximately how many inflations?",,,0,25,Booth Medical Devices,standard,visible,
45,Vital Signs,"6 Vital Signs are captured by ViSi Mobile System, they include the following:
1. SpO2 / Pulse Rate
2. ECG / Heart Rate
3. Respiration Rate
4. Non-invasive Blood Pressure (NIBP)
5. Continuous Non-Invasive Blood Pressure (cNIBP)

What is the 6th vitial sign captured by the Visi Mobile System?",,,0,10,Booth Medical Devices,standard,visible,
46,MX100 Intellivue Battery,What is the charge capacity of the battery of the MX100 in basic configuration  in hours?,,,0,10,Booth Medical Devices,standard,visible,
47,Oxygen reading definition,A measurement of how much oxygen your blood is carrying as a percentage of the maximum it could carry is represented by this reading level.,,,0,10,Booth Medical Devices,standard,visible,
48,Classy Devices,What is the regulatory classification of the Visi Mobile Monitoring System?,,,0,10,Booth Medical Devices,standard,visible,
49,CVE-2020-16216,"Which medical devices at the Healthcare Hacking booth fall under CVE-2020-16216? (separate devices with commas, only input the model number - XX###)",,,0,25,Booth Medical Devices,standard,visible,
50,Serial Number,What is the serial number (SN) of the IntelliVue MX100?,,,0,20,Booth Medical Devices,standard,visible,
51,Common Weakness Enumeration,What is the CWE that falls under CVE-2020-16216?,,,0,10,Booth Medical Devices,standard,visible,
52,MX40 Input impedance,What is the ECG Input Impedance on the MX40?,,,0,25,Booth Medical Devices,standard,visible,
53,"Hello, my name is...",What is the name of the mannequin in the Healthcare Hacking Booth?,,,0,10,Booth Medical Devices,standard,visible,
55,Software Update,What software update version did the Philips' IntelliVue MX40 recieve to mitigate against WLAN vulnerabilities? (Flag format: {X.XX.XX}   ,,,0,15,Booth Medical Devices,standard,visible,
56,Mispelled,"In CISA's vulnerability for the MX40 Patient Worn Monitor medical device, what word does CISA misspell? (Flag is the misspelled version of the word)",,,0,50,Booth Medical Devices,standard,visible,
57,Access records,"A covered entity must implement hardware, software, and/or procedural mechanisms to record and examine access and other activity in information systems that contain or use e-PHI. What part of the HIPAA Security Rule covers this statement?

Format: XXX.XXX
or
Format:XXX.XXX(x)

",,,0,20,Annual Training,standard,visible,
58,Compromised Certificate,"In 2020, a 6.3 Medium vulnerability was identified on the Intellivue Patient Monitor MX400. ""The software does not check or incorrectly checks the revocation status of a certificate, which may cause it to use a compromised certificate."" What is the CVE?

Format: CVE-XXXX-XXXXX

",,,0,20,Booth Medical Devices,standard,visible,
59,Masimo Ports,What are the trademarked ports called on the Masimo medical device at the Healthcare Hacking Booth?,,,0,15,Booth Medical Devices,standard,visible,
60,Masimo expansion,"These ports on the Masimo Root are also designed for third-party measurement expansion, allowing other companies to expand the platform with their own technologies",,,0,20,Booth Medical Devices,standard,visible,
61,Mobile EKG,What is the name of the manufacturer of the EKG that Brucifer carries with him?,,,0,50,Wednesday Bonus Questions,standard,visible,
62,Badge Games,What is the name of the game on Brucifer's special badge?,,,0,50,Wednesday Bonus Questions,standard,visible,
